	Cloud and Capacity	Vmware stack 	VMware Cloud Technical specialist		Virtualization 	understand the basics (Gareth intro) 	knowledge based on Vmware Vsphere ICM training 	VCP (knowledge and certifications/contract) 	"knows the difference between Virtualization Hypervisors (Vmware, Hyper V, OpenStack) "									
Hardware 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	HP	Server Infra - Eclosure 								"Planning
*creating installation checklist according to Datacenter (networks - SAN+ Ethernet, Enclosure internal switch selecting/defining parameters, cabling, Rack location planning, Resources allocation plan)
*Capacity planning 
*Financial Planning - Investment proposal 
*CI preparation "					
Hardware 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	HP 						"Installation 
*Ordering Ports (SAN + Ethernet) + specifying parameters
*Ordering cabling + rack installation + human resources allocation
*VCEM + OA + VCM configuration
*CI update
*Monitoring order"	"Installation 
*Ordering Ports (SAN + Ethernet) + specifying parameters
*Ordering cabling + rack installation + human resources allocation
*VCEM + OA + VCM configuration
*CI update
*Monitoring order"	"Installation 
*Ordering Ports (SAN + Ethernet) + specifying parameters
*Ordering cabling + rack installation + human resources allocation
*VCEM + OA + VCM configuration
*CI update
*Monitoring order"	"Installation 
*Ordering Ports (SAN + Ethernet) + specifying parameters
*Ordering cabling + rack installation + human resources allocation
*VCEM + OA + VCM configuration
*CI update
*Monitoring order"					
Hardware 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	HP 				"Maintenance 
*Patching Firmware OA + VC"	"Maintenance 
*Patching Firmware OA + VC"	"Maintenance 
*Maintain configuration according to actual standard
*Monitoring health, solving incidents
*Patching Firmware OA + VC"	"Maintenance 
*Maintain configuration according to actual standard
*Monitoring health, solving incidents
*Patching Firmware OA + VC"	"Maintenance 
*Maintain configuration according to actual standard
*Monitoring health, solving incidents
*Patching Firmware OA + VC"	"Maintenance 
*Maintain configuration according to actual standard
*Monitoring health, solving incidents
*Patching Firmware OA + VC"					
Hardware 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	HP	Server Infra - Rack Server 			"Maintenance 
*Monitoring health, solving incidents
*Patching Firmware "	"Maintenance 
*Maintain configuration according to actual standard 
*Solving errors, nonexpected behaviour
*Monitoring health, solving incidents
*Patching Firmware "	"Installation 
*Ordering Ports (SAN + Ethernet) + specifying parameters
*Ordering cabling + rack installation + human resources allocation
*iLO/iDRAC configuration 
*CI update
*Monitoring order

Maintenance 
*Maintain configuration according to actual standard 
*Solving errors, nonexpected behaviour
*Monitoring health, solving incidents
*Patching Firmware "			"Planning
*creating installation checklist according to Datacenter (networks - SAN+ Ethernet, Enclosure internal switch selecting/defining parameters, cabling, Rack location planning, Resources allocation plan)
*Capacity planning 
*Financial Planning - Investment proposal 
*CI preparation "					
Hardware 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	HP 	Server Infra - Blades 			"Maintenance 
*Monitoring health, solving incidents
*Patching Firmware "	"Maintenance 
*Maintain configuration according to actual standard 
*Solving errors, nonexpected behaviour
*Monitoring health, solving incidents
*Patching Firmware "	"Installation 
*Ordering ports (SAN + Ethernet) + specifying parameters
*VCEM + OA + VCM configuration
*CI update
*Monitoring order

Maintenance 
*Maintain configuration according to actual standard 
*Solving errors, nonexpected behaviour
*Monitoring health, solving incidents
*Patching Firmware "			"Planning
*creating installation checklist according to Datacenter (networks - SAN+ Ethernet, Enclosure internal switch selecting/defining parameters, cabling, Rack location planning, Resources allocation plan)
*Capacity planning 
*Financial Planning - Investment proposal
*CI preparation "					
Hardware 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	HP 	Network Infra (Network switch) 				"Maintenance
*Maintain configuration according to actual standard 
*Solving errors, nonexpected behaviour
*Monitoring health, solving incidents
*Patching Firmware"	"Installation
*As part of Enclosure installation 

Maintenance
*Maintain configuration according to actual standard 
*Solving errors, nonexpected behaviour
*Monitoring health, solving incidents
*Patching Firmware"			"Planning
*As part of Enclosure planing (TPC is responsible only for Enclosure internal switches) "					
Hardware 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	Dell 	Server - Rack Server 			"Maintenance 
*Monitoring health, solving incidents
*Patching Firmware "	"Maintenance 
*Maintain configuration according to actual standard 
*Monitoring health, solving incidents
*Patching Firmware "	"Installation 
*Ordering Ports (SAN + Ethernet) + specifying parameters
*Ordering cabling + rack installation + human resources allocation
*iLO/iDRAC configuration 
*CI update
*Monitoring order

Maintenance 
*Maintain configuration according to actual standard 
*Solving errors, nonexpected behaviour
*Monitoring health, solving incidents
*Patching Firmware "			"Planning
*creating installation checklist according to Datacenter (networks - SAN+ Ethernet, cabling, Rack location planning, Resources allocation plan)
*Capacity planing
*Financial planning - investment proposal
*CI preparation "					
Hardware 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	MS Operating System 	Operating System - Windows Server: Life Cycle 		"Maintenance 
*Monitoring health, solving incidents
*Patching OS, Firmware, drivers  "	"Installation 
*OS installation according to checklist 
*OS configuration according to ordered parameters 

Maintenance 
*Maintain configuration according to actual standard 
*Monitoring health, solving incidents
*Patching OS, Firmware, drivers  "	"Installation 
*OS installation according to checklist 
*OS configuration according to ordered parameters 

Maintenance 
*Maintain configuration according to actual standard 
*Solving errors, nonexpected behaviour
*Monitoring health, solving incidents
*Patching OS, Firmware, drivers  "	"Installation 
*OS installation according to checklist 
*OS configuration according to ordered parameters 

Maintenance 
*Maintain configuration according to actual standard 
*Solving errors, nonexpected behaviour
*Monitoring health, solving incidents
*Patching OS, Firmware, drivers  "	"Planning
*creating installation checklist according to server role 
*defining HW&SW configuration parameters criteria "	"Planning
*creating installation checklist according to server role 
*defining HW&SW configuration parameters criteria "	"Planning
*creating installation checklist according to server role 
*defining HW&SW configuration parameters criteria "					
Microsoft 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	MS Operating System 	Operating System - Windows Server: Hypervisor: Hyper V		"Maintenance 
 *Monitoring health, solving incidents"	"Installation 
Hyper-V configuration according to checklist (including network, storage ordering…)

Maintenance 
*maintain configuration according to actual standard
 *Monitoring health, solving incidents"	"Installation 
Hyper-V configuration according to checklist (including network, storage ordering…)

Maintenance 
*maintain configuration according to actual standard
*Solving errors, nonexpected behaviour
 *Monitoring health, solving incidents"	"Installation 
Hyper-V configuration according to checklist (including network, storage ordering…)

Maintenance 
*maintain configuration according to actual standard
*Solving errors, nonexpected behaviour
 *Monitoring health, solving incidents"	"Planning
*defining Hyper-V configuration parameters according to Host Role in TPC Fabric including Network, storage, Firmware (Power options, Hyper threading…)
*Specifying hardware configuration "	"Planning
*defining Hyper-V configuration parameters according to Host Role in TPC Fabric including Network, storage, Firmware (Power options, Hyper threading…)
*Specifying hardware configuration "	"Planning
*defining Hyper-V configuration parameters according to Host Role in TPC Fabric including Network, storage, Firmware (Power options, Hyper threading…)
*Specifying hardware configuration "					
Microsoft 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	MS Operating System 	Operating System - Windows Server: Clustering: Failover Clustering 			"Installation 
*Failover cluster configuration according to checklist (incl. CNO domain object, cluster disks if needed, heartbeat, live migration …)

Maintenance 
*Maintain configuration according to actual standard
*Monitoring health, solving incidents"	"Installation 
*Failover cluster configuration according to checklist (incl. CNO domain object, cluster disks if needed, heartbeat, live migration …)

Maintenance 
*Maintain configuration according to actual standard
*Solving errors, nonexpected behaviour
*Monitoring health, solving incidents"	"Installation 
*Failover cluster configuration according to checklist (incl. CNO domain object, cluster disks if needed, heartbeat, live migration …)

Maintenance 
*Maintain configuration according to actual standard
*Solving errors, nonexpected behaviour
*Monitoring health, solving incidents"	"Planning
*defining cluster parameters - (incl. count of nodes for capacity variants, witness, storage…)"	"Planning
*defining cluster parameters - (incl. count of nodes for capacity variants, witness, storage…)"	"Planning
*defining cluster parameters - (incl. count of nodes for capacity variants, witness, storage…)"					
